id,name,set_code,card_number,card_type,cost,traits,rules_text,image_filename
ogn-001,Blazing Scorcher,OGN,001,main,,,,ogn-001.webp
ogn-002,Brazen Buccaneer,OGN,002,main,,,,ogn-002.webp
ogn-003,Chemtech Enforcer,OGN,003,main,,,,ogn-003.webp
ogn-004,Cleave,OGN,004,main,,,,ogn-004.webp
ogn-005,Disintegrate,OGN,005,main,,,,ogn-005.webp
ogn-006,Flame Chompers,OGN,006,main,,,,ogn-006.webp
ogn-007,Fury Rune,OGN,007,rune,,,,ogn-007.webp
ogn-007a,Fury Rune,OGN,007a,rune,,,,ogn-007a.webp
ogn-008,Get Excited!,OGN,008,main,,,,ogn-008.webp
ogn-009,Hextech Ray,OGN,009,main,,,,ogn-009.webp
ogn-010,Legion Rearguard,OGN,010,main,,,,ogn-010.webp
ogn-011,Magma Wurm,OGN,011,main,,,,ogn-011.webp
ogn-012,Noxus Hopeful,OGN,012,main,,,,ogn-012.webp
ogn-013,Pouty Poro,OGN,013,main,,,,ogn-013.webp
ogn-014,Sky Splitter,OGN,014,main,,,,ogn-014.webp
ogn-015,Captain Farron,OGN,015,main,,,,ogn-015.webp
ogn-016,Dangerous Duo,OGN,016,main,,,,ogn-016.webp
ogn-017,Iron Ballista,OGN,017,main,,,,ogn-017.webp
ogn-018,Noxus Saboteur,OGN,018,main,,,,ogn-018.webp
ogn-019,Raging Soul,OGN,019,main,,,,ogn-019.webp
ogn-020,Scrapyard Champion,OGN,020,main,,,,ogn-020.webp
ogn-021,Sun Disc,OGN,021,main,,,,ogn-021.webp
ogn-022,Thermo Beam,OGN,022,main,,,,ogn-022.webp
ogn-023,Unlicensed Armory,OGN,023,main,,,,ogn-023.webp
ogn-024,Void Seeker,OGN,024,main,,,,ogn-024.webp
ogn-025,Blind Fury,OGN,025,main,,,,ogn-025.webp
ogn-026,Brynhir Thundersong,OGN,026,main,,,,ogn-026.webp
ogn-027,"Darius, Trifarian",OGN,027,main,,,,ogn-027.webp
ogn-027a,"Darius, Trifarian",OGN,027a,main,,,,ogn-027a.webp
ogn-028,"Draven, Showboat",OGN,028,main,,,,ogn-028.webp
ogn-029,Falling Star,OGN,029,main,,,,ogn-029.webp
ogn-030,"Jinx, Demolitionist",OGN,030,main,,,,ogn-030.webp
ogn-030a,"Jinx, Demolitionist",OGN,030a,main,,,,ogn-030a.webp
ogn-031,Raging Firebrand,OGN,031,main,,,,ogn-031.webp
ogn-032,Ravenborn Tome,OGN,032,main,,,,ogn-032.webp
ogn-033,Shakedown,OGN,033,main,,,,ogn-033.webp
ogn-034,"Tryndamere, Barbarian",OGN,034,main,,,,ogn-034.webp
ogn-035,"Vayne, Hunter",OGN,035,main,,,,ogn-035.webp
ogn-036,"Vi, Destructive",OGN,036,main,,,,ogn-036.webp
ogn-037,Immortal Phoenix,OGN,037,main,,,,ogn-037.webp
ogn-038,Kadregrin the Infernal,OGN,038,main,,,,ogn-038.webp
ogn-039,"Kai'Sa, Survivor",OGN,039,main,,,,ogn-039.webp
ogn-039a,"Kai'Sa, Survivor",OGN,039a,main,,,,ogn-039a.webp
ogn-040,Seal of Rage,OGN,040,main,,,,ogn-040.webp
ogn-041,"Volibear, Furious",OGN,041,main,,,,ogn-041.webp
ogn-041a,"Volibear, Furious",OGN,041a,main,,,,ogn-041a.webp
ogn-042,Calm Rune,OGN,042,rune,,,,ogn-042.webp
ogn-042a,Calm Rune,OGN,042a,rune,,,,ogn-042a.webp
ogn-043,Charm,OGN,043,main,,,,ogn-043.webp
ogn-044,Clockwork Keeper,OGN,044,main,,,,ogn-044.webp
ogn-045,Defy,OGN,045,main,,,,ogn-045.webp
ogn-046,En Garde,OGN,046,main,,,,ogn-046.webp
ogn-047,Find Your Center,OGN,047,main,,,,ogn-047.webp
ogn-048,Meditation,OGN,048,main,,,,ogn-048.webp
ogn-049,Playful Phantom,OGN,049,main,,,,ogn-049.webp
ogn-050,Rune Prison,OGN,050,main,,,,ogn-050.webp
ogn-051,Solari Shieldbearer,OGN,051,main,,,,ogn-051.webp
ogn-052,Stalwart Poro,OGN,052,main,,,,ogn-052.webp
ogn-053,Stand United,OGN,053,main,,,,ogn-053.webp
ogn-054,Sunlit Guardian,OGN,054,main,,,,ogn-054.webp
ogn-055,Wielder of Water,OGN,055,main,,,,ogn-055.webp
ogn-056,Adaptatron,OGN,056,main,,,,ogn-056.webp
ogn-057,Block,OGN,057,main,,,,ogn-057.webp
ogn-058,Discipline,OGN,058,main,,,,ogn-058.webp
ogn-059,Eclipse Herald,OGN,059,main,,,,ogn-059.webp
