id,name,set_code,card_number,card_type,cost,traits,rules_text,image_filename
sfd-001,Against the Odds,SFD,001,main,,,,sfd-001.webp
sfd-002,Armed Assailant,SFD,002,main,,,,sfd-002.webp
sfd-003,Blood Rush,SFD,003,main,,,,sfd-003.webp
sfd-004,Bushwhack,SFD,004,main,,,,sfd-004.webp
sfd-005,Detonate,SFD,005,main,,,,sfd-005.webp
sfd-006,Eager Drakehound,SFD,006,main,,,,sfd-006.webp
sfd-007,Gem Jammer,SFD,007,main,,,,sfd-007.webp
sfd-008,Sentinel Adept,SFD,008,main,,,,sfd-008.webp
sfd-009,Serrated Dirk,SFD,009,main,,,,sfd-009.webp
sfd-010,Void Drone,SFD,010,main,,,,sfd-010.webp
sfd-011,Angle Shot,SFD,011,main,,,,sfd-011.webp
sfd-012,Battering Ram,SFD,012,main,,,,sfd-012.webp
sfd-013,Blast Corps Cadet,SFD,013,main,,,,sfd-013.webp
sfd-014,Minotaur Reckoner,SFD,014,main,,,,sfd-014.webp
sfd-015,Perched Grimwyrm,SFD,015,main,,,,sfd-015.webp
sfd-016,Recurve Bow,SFD,016,main,,,,sfd-016.webp
sfd-017,Sudden Storm,SFD,017,main,,,,sfd-017.webp
sfd-018,Void Hatchling,SFD,018,main,,,,sfd-018.webp
sfd-019,Assembly Rig,SFD,019,main,,,,sfd-019.webp
sfd-020,"Draven, Vanquisher",SFD,020,main,,,,sfd-020.webp
sfd-020a,"Draven, Vanquisher",SFD,020a,main,,,,sfd-020a.webp
sfd-021,Ferrous Forerunner,SFD,021,main,,,,sfd-021.webp
sfd-022,Long Sword,SFD,022,main,,,,sfd-022.webp
sfd-023,Piercing Light,SFD,023,main,,,,sfd-023.webp
sfd-024,"Rell, Magnetic",SFD,024,main,,,,sfd-024.webp
sfd-025,"Rengar, Pouncing",SFD,025,main,,,,sfd-025.webp
sfd-026,"Rumble, Hotheaded",SFD,026,main,,,,sfd-026.webp
sfd-026a,"Rumble, Hotheaded",SFD,026a,main,,,,sfd-026a.webp
sfd-027,Dunebreaker,SFD,027,main,,,,sfd-027.webp
sfd-028,"Lucian, Gunslinger",SFD,028,main,,,,sfd-028.webp
sfd-028a,"Lucian, Gunslinger",SFD,028a,main,,,,sfd-028a.webp
sfd-029,"Rek'Sai, Breacher",SFD,029,main,,,,sfd-029.webp
sfd-029a,"Rek'Sai, Breacher",SFD,029a,main,,,,sfd-029a.webp
sfd-030,Skyfall of Areion,SFD,030,main,,,,sfd-030.webp
sfd-031,Desert's Call,SFD,031,main,,,,sfd-031.webp
sfd-032,Disarming Rake,SFD,032,main,,,,sfd-032.webp
sfd-033,Doran's Shield,SFD,033,main,,,,sfd-033.webp
sfd-034,Feral Strength,SFD,034,main,,,,sfd-034.webp
sfd-035,Guardian of the Passage,SFD,035,main,,,,sfd-035.webp
sfd-036,Lonely Poro,SFD,036,main,,,,sfd-036.webp
sfd-037,Navori Scout,SFD,037,main,,,,sfd-037.webp
sfd-038,Ribbon Dancer,SFD,038,main,,,,sfd-038.webp
sfd-039,Royal Entourage,SFD,039,main,,,,sfd-039.webp
sfd-040,Thwonk!,SFD,040,main,,,,sfd-040.webp
sfd-041,Apprentice Smith,SFD,041,main,,,,sfd-041.webp
sfd-042,Brutalizer,SFD,042,main,,,,sfd-042.webp
sfd-043,Emperor's Divide,SFD,043,main,,,,sfd-043.webp
sfd-044,Legion Quartermaster,SFD,044,main,,,,sfd-044.webp
sfd-045,Not So Fast,SFD,045,main,,,,sfd-045.webp
sfd-046,Poro Snax,SFD,046,main,,,,sfd-046.webp
sfd-047,Simian Ancestor,SFD,047,main,,,,sfd-047.webp
sfd-048,Stellacorn Herder,SFD,048,main,,,,sfd-048.webp
sfd-049,"Aphelios, Exalted",SFD,049,main,,,,sfd-049.webp
sfd-050,"Azir, Ascendant",SFD,050,main,,,,sfd-050.webp
